,q1f,q2f,q3f,q4f,q5f,q6f
0,1.3429575802764533,3.6142637319262767,1.8565470488193143,-1.400670535661213,3.6142637319262767,-0.3248355430202601
1,1.342956236541724,3.61426229617507,1.8522081523975462,-1.4006683629539411,3.61426229617507,-0.3231263580735533
2,1.342952205340858,3.61425798892145,1.8478736013903214,-1.4006618448321255,3.61425798892145,-0.3214171773525374
3,1.3429454866838222,3.614250810165416,1.84354339579764,-1.400650981295767,3.614250810165416,-0.31970800508289354
4,1.342936080587227,3.614240759906969,1.8392175356195022,-1.400635772344864,3.614240759906969,-0.31799884549028157
5,1.342923987074328,3.6142278381461077,1.8348960208559082,-1.400616217979418,3.6142278381461077,-0.31628970280032886
6,1.3429092061750239,3.6142120448828337,1.830578851506858,-1.4005923181994282,3.6142120448828337,-0.3145805812386233
7,1.3428917379258587,3.614193380117146,1.826266027572351,-1.4005640730048956,3.614193380117146,-0.31287148503069817
8,1.3428715823700195,3.6141718438490447,1.8219575490523878,-1.4005314823958184,3.6141718438490447,-0.3111624184020263
9,1.3428487395573379,3.6141474360785297,1.817653415946968,-1.4004945463721983,3.6141474360785297,-0.30945338557800506
10,1.3428232095442891,3.614120156805602,1.8133536282560918,-1.4004532649340335,3.614120156805602,-0.30774439078395055
11,1.3427949923939924,3.61409000603026,1.809058185979759,-1.400407638081326,3.61409000603026,-0.3060354382450834
12,1.3427640881762097,3.614056983752505,1.8047670891179703,-1.4003576658140746,3.614056983752505,-0.30432653218651984
13,1.3427304969673473,3.6140210899723364,1.800480337670725,-1.4003033481322804,3.6140210899723364,-0.3026176768332616
14,1.3426942188504538,3.613982324689754,1.796197931638023,-1.4002446850359416,3.613982324689754,-0.3009088764101846
15,1.3426552539152214,3.6139406879047584,1.7919198710198652,-1.4001816765250599,3.6139406879047584,-0.29920013514203037
16,1.3426136022579849,3.613896179617349,1.7876461558162502,-1.4001143225996344,3.613896179617349,-0.297491457253392
17,1.342569263981721,3.613848799827526,1.783376786027179,-1.4000426232596652,3.613848799827526,-0.2957828469687076
18,1.3425222391960496,3.61379854853529,1.7791117616526515,-1.3999665785051523,3.61379854853529,-0.2940743085122466
19,1.3424725280172316,3.6137454257406403,1.7748510826926678,-1.3998861883360965,3.6137454257406403,-0.29236584610810334
20,1.3424201305681707,3.613689431443577,1.7705947491472278,-1.399801452752496,3.613689431443577,-0.2906574639801809
21,1.3423650469784107,3.6136305656441,1.7663427610163307,-1.3997123717543527,3.6136305656441,-0.2889491663521868
22,1.3423072773841376,3.6135688283422103,1.7620951182999778,-1.3996189453416656,3.6135688283422103,-0.28724095744761735
23,1.3422468219281776,3.613504219537907,1.7578518209981686,-1.3995211735144348,3.613504219537907,-0.28553284148975155
24,1.342183680759997,3.6134367392311892,1.7536128691109023,-1.3994190562726612,3.6134367392311892,-0.28382482270163667
25,1.3421178540357026,3.6133663874220585,1.7493782626381797,-1.3993125936163429,3.6133663874220585,-0.28211690530608147
26,1.3420493419180408,3.613293164110514,1.7451480015800014,-1.3992017855454817,3.613293164110514,-0.28040909352564247
27,1.3419781445763967,3.6132170692965566,1.7409220859363659,-1.3990866320600768,3.6132170692965566,-0.2787013915826164
28,1.3419042621867947,3.6131381029801855,1.7367005157072741,-1.398967133160128,3.6131381029801855,-0.2769938036990278
29,1.3418276949318977,3.6130562651614007,1.7324832908927261,-1.3988432888456357,3.6130562651614007,-0.2752863340966192
30,1.3417484430010056,3.6129715558402027,1.7282704114927219,-1.3987150991166004,3.6129715558402027,-0.2735789869968408
31,1.3416665065900568,3.612883975016591,1.724061877507261,-1.3985825639730214,3.612883975016591,-0.27187176662083967
32,1.341581885901626,3.6127935226905654,1.7198576889363437,-1.3984456834148977,3.6127935226905654,-0.27016467718945014
33,1.3414945811449244,3.612700198862127,1.7156578457799698,-1.398304457442232,3.612700198862127,-0.2684577229231824
34,1.3414045925357996,3.612604003531275,1.7114623480381397,-1.3981588860550218,3.612604003531275,-0.266750908042213
35,1.3413119202967343,3.6125049366980093,1.7072711957108533,-1.3980089692532678,3.6125049366980093,-0.26504423676637234
36,1.3412165646568457,3.61240299836233,1.7030843887981106,-1.397854707036971,3.61240299836233,-0.263337713315138
37,1.3411185258518858,3.612298188524237,1.6989019272999109,-1.3976960994061303,3.612298188524237,-0.2616313419076204
38,1.3410178041242404,3.6121905071837315,1.6947238112162553,-1.3975331463607459,3.6121905071837315,-0.25992512676255464
39,1.340914399722928,3.6120799543408113,1.6905500405471434,-1.3973658479008177,3.6120799543408113,-0.2582190720982891
40,1.3408083129035993,3.6119665299954784,1.6863806152925744,-1.3971942040263459,3.6119665299954784,-0.2565131821327764
41,1.3406995439285379,3.611850234147732,1.6822155354525492,-1.3970182147373311,3.611850234147732,-0.2548074610835611
42,1.3405880930666576,3.6117310667975717,1.6780548010270682,-1.3968378800337717,3.6117310667975717,-0.2531019131677703
43,1.3404739605935032,3.611609027944998,1.67389841201613,-1.3966531999156695,3.611609027944998,-0.2513965426021034
44,1.3403571467912494,3.6114841175900105,1.6697463684197356,-1.3964641743830244,3.6114841175900105,-0.24969135360282024
45,1.3402376519487,3.61135633573261,1.6655986702378849,-1.3962708034358347,3.61135633573261,-0.2479863503857338
46,1.340115476361287,3.6112256823727957,1.661455317470578,-1.3960730870741012,3.6112256823727957,-0.24628153716619527
47,1.3399906203310705,3.6110921575105683,1.6573163101178148,-1.3958710252978248,3.6110921575105683,-0.24457691815908866
48,1.3398630841667376,3.6109557611459273,1.6531816481795945,-1.3956646181070047,3.6109557611459273,-0.24287249757881524
49,1.339732868183601,3.6108164932788727,1.6490513316559183,-1.3954538655016409,3.6108164932788727,-0.24116827963928777
50,1.3395999727035992,3.6106743539094044,1.6449253605467855,-1.3952387674817333,3.6106743539094044,-0.23946426855391634
51,1.339464398055296,3.6105293430375225,1.640803734852196,-1.3950193240472828,3.6105293430375225,-0.23776046853560207
52,1.3393261445738778,3.6103814606632274,1.6366864545721507,-1.3947955351982877,3.6103814606632274,-0.23605688379672074
53,1.339185212601155,3.6102307067865187,1.6325735197066487,-1.3945674009347497,3.6102307067865187,-0.23435351854911923
54,1.3390416024855596,3.610077081407397,1.6284649302556904,-1.394334921256668,3.610077081407397,-0.23265037700409996
55,1.338895314582145,3.6099205845258613,1.6243606862192754,-1.3940980961640426,3.6099205845258613,-0.2309474633724129
56,1.3387463492525848,3.609761216141912,1.6202607875974042,-1.3938569256568734,3.609761216141912,-0.22924478186424357
57,1.338594706865173,3.6095989762555494,1.6161652343900763,-1.3936114097351613,3.6095989762555494,-0.2275423366892051
58,1.3384403877948208,3.609433864866773,1.6120740265972922,-1.3933615483989055,3.609433864866773,-0.22584013205632525
59,1.3382833924230584,3.6092658819755834,1.6079871642190517,-1.393107341648106,3.6092658819755834,-0.2241381721740372
60,1.338123721138032,3.60909502758198,1.603904647255355,-1.3928487894827626,3.60909502758198,-0.22243646125017014
61,1.3379613743345038,3.608921301685964,1.5998264757062017,-1.3925858919028755,3.608921301685964,-0.22073500349193553
62,1.3377963524138508,3.608744704287534,1.5957526495715917,-1.3923186489084447,3.608744704287534,-0.2190338031059209
63,1.3376286557840635,3.60856523538669,1.5916831688515254,-1.392047060499471,3.60856523538669,-0.21733286429807697
64,1.3374582848597456,3.608382894983433,1.5876180335460028,-1.3917711266759536,3.608382894983433,-0.21563219127370692
65,1.3372852400621127,3.608197683077762,1.583557243655024,-1.3914908474378924,3.608197683077762,-0.21393178823745806
66,1.3371095218189903,3.6080095996696784,1.5795007991785885,-1.3912062227852875,3.6080095996696784,-0.21223165939330935
67,1.3369311305648148,3.6078186447591802,1.5754487001166968,-1.3909172527181397,3.6078186447591802,-0.21053180894456247
68,1.3367500667406298,3.6076248183462694,1.5714009464693484,-1.3906239372364473,3.6076248183462694,-0.20883224109382992
69,1.3365663307940878,3.607428120430945,1.5673575382365437,-1.390326276340212,3.607428120430945,-0.2071329600430265
70,1.3363799231794469,3.6072285510132067,1.5633184754182823,-1.390024270029433,3.6072285510132067,-0.20543396999335695
71,1.33619084435757,3.607026110093055,1.559283758014565,-1.3897179183041102,3.607026110093055,-0.20373527514530743
72,1.3359990947959257,3.60682079767049,1.5552533860253912,-1.3894072211642436,3.60682079767049,-0.20203687969863404
73,1.3358046749685841,3.6066126137455115,1.5512273594507606,-1.3890921786098342,3.6066126137455115,-0.20033878785235215
74,1.335607585356218,3.6064015583181193,1.5472056782906742,-1.388772790640881,3.6064015583181193,-0.1986410038047275
75,1.3354078264460998,3.6061876313883134,1.5431883425451307,-1.3884490572573833,3.6061876313883134,-0.19694353175326373
76,1.3352053987321026,3.6059708329560944,1.5391753522141314,-1.3881209784593436,3.6059708329560944,-0.19524637589469362
77,1.335000302714697,3.605751163021462,1.5351667072976753,-1.3877885542467592,3.605751163021462,-0.1935495404249692
78,1.3347925389009507,3.6055286215844156,1.5311624077957626,-1.387451784619631,3.6055286215844156,-0.191853029539248
79,1.334582107804527,3.605303208644956,1.527162453708394,-1.38711066957796,3.605303208644956,-0.19015684743188732
80,1.3343690099456837,3.605074924203083,1.5231668450355689,-1.3867652091217453,3.605074924203083,-0.18846099829643093
81,1.334153245851272,3.604843768258797,1.519175581777287,-1.3864154032509868,3.604843768258797,-0.1867654863255992
82,1.333934816054734,3.6046097408120965,1.5151886639335488,-1.3558153198955463,3.6046097408120965,-0.18507031571127852
83,1.3337137210961036,3.6043728418629826,1.5112060915043544,-1.3554568231957012,3.6043728418629826,-0.18337549064451153
84,1.3334899615220035,3.604133071411456,1.5072278644897033,-1.3550939810813114,3.604133071411456,-0.1816810153154882
85,1.3332635378856434,3.603890429457515,1.5032539828895963,-1.3547267935523788,3.603890429457515,-0.17998689391353073
86,1.333034450746821,3.603644916001161,1.4992844467040323,-1.3543552606089024,3.603644916001161,-0.17829313062708918
87,1.3328027006719176,3.6033965310423937,1.4953192559330124,-1.3539793822508823,3.6033965310423937,-0.17659972964372583
88,1.3325682882338992,3.6031452745812125,1.4913584105765354,-1.3535991584783185,3.6031452745812125,-0.17490669515010948
89,1.3323312140123131,3.602891146617618,1.4874019106346026,-1.3532145892912117,3.602891146617618,-0.17321403133200208
90,1.332091478593289,3.60263414715161,1.483449756107213,-1.3528256746895613,3.60263414715161,-0.17152174237424767
91,1.3318490825695342,3.6023742761831885,1.4795019469943673,-1.352432414673367,3.6023742761831885,-0.16982983246076522
92,1.331604026540335,3.6021115337123533,1.4755584832960649,-1.352034809242629,3.6021115337123533,-0.16813830577453626
93,1.3313563111115543,3.6018459197391044,1.4716193650123062,-1.3516328583973474,3.6018459197391044,-0.16644716649759417
94,1.331105936895629,3.601577434263443,1.4676845921430912,-1.351226562137522,3.601577434263443,-0.16475641881101533
95,1.3308529045115702,3.601306077285367,1.46375416468842,-1.3508159204631536,3.601306077285367,-0.16306606689490755
96,1.330597214584961,3.601031848804878,1.4598280826482917,-1.3504009333742415,3.601031848804878,-0.16137611492839987
97,1.3303388677479542,3.6007547488219753,1.4559063460227075,-1.3499816008707857,3.6007547488219753,-0.15968656708963325
98,1.3300778646392717,3.600474777336659,1.4519889548116667,-1.349557922952786,3.600474777336659,-0.15799742755574941
99,1.3298142059042029,3.60019193434893,1.1153706562436536,-1.3491298996202428,3.60019193434893,-0.15630870050287982
100,1.3295478921946025,3.599906219858787,1.1114619558617003,-1.3486975308731566,3.599906219858787,-0.15462039010613626
101,1.3292789241688892,3.59961763386623,1.1075576008942898,-1.3482608167115266,3.59961763386623,-0.15293250053960206
102,1.3290073024920441,3.5993261763712603,1.1036575913414235,-1.347819757135352,3.5993261763712603,-0.15124503597631778
103,1.3287330278356093,3.599031847373877,1.0997619272031005,-1.3473743521446355,3.599031847373877,-0.14955800058827506
104,1.3284561008776858,3.5987346468740795,1.0958706084793217,-1.3469246017393743,3.5987346468740795,-0.14787139854640285
105,1.3281765223029316,3.5984345748718694,1.0919836351700858,-1.3464705059195694,3.5984345748718694,-0.14618523402055983
106,1.3278942928025612,3.598131631367245,1.0881010072753936,-1.3460120646852216,3.598131631367245,-0.1444995111795233
107,1.3276094130743425,3.5978258163602073,1.0842227247952452,-1.34554927803633,3.5978258163602073,-0.14281423419097727
108,1.3273218838225957,3.5975171298507567,1.0803487877296405,-1.3450821459728948,3.5975171298507567,-0.1411294072215048
109,1.327031705758192,3.597205571838892,1.0764791960785791,-1.3446106684949157,3.597205571838892,-0.1394450344365752
110,1.3267388795985509,3.5968911423246137,1.072613949842061,-1.3441348456023938,3.5968911423246137,-0.13776112000053597
111,1.3264434060676389,3.5965738413079222,1.0687530490200867,-1.3436546772953273,3.5965738413079222,-0.1360776680766005
112,1.3261452858959681,3.596253668788817,1.0648964936126566,-1.3431701635737179,3.596253668788817,-0.13439468282683897
113,1.3258445198205937,3.595930624767299,1.0610442836197693,-1.3426813044375647,3.595930624767299,-0.13271216841216793
114,1.3255411085851123,3.595604709243367,1.0571964190414258,-1.3421880998868678,3.595604709243367,-0.13103012899233946
115,1.3252350529396608,3.595275922217021,1.053352899877626,-1.3416905499216272,3.595275922217021,-0.12934856872593237
116,1.3249263536409135,3.5949442636882623,1.04951372612837,-1.3411886545418437,3.5949442636882623,-0.12766749177033976
117,1.3246150114520812,3.59460973365709,1.0456788977936573,-1.3406824137475164,3.59460973365709,-0.12598690228176013
118,1.3243010271429079,3.594272332123504,1.041848414873488,-1.3401718275386454,3.594272332123504,-0.12430680441518627
119,1.323984401489671,3.5939320590875043,1.0380222773678627,-1.3396568959152306,3.5939320590875043,-0.12262720232439683
120,1.3236651352751774,3.593588914549091,1.0342004852767808,-1.3391376188772721,3.593588914549091,-0.1209481001619439
121,1.3233432292887628,3.5932428985082647,1.0303830386002426,-1.3386139964247707,3.5932428985082647,-0.11926950207914322
122,1.3230186843262888,3.5928940109650247,1.0265699373382473,-1.3380860285577247,3.5928940109650247,-0.1175914122260644
123,1.3226915011901421,3.5925422519193715,1.0227611814907966,-1.3375537152761359,3.5925422519193715,-0.11591383475152162
124,1.3223616806892318,3.592187621371304,1.0189567710578888,-1.3370170565800032,3.592187621371304,-0.11423677380306119
125,1.3220292236389866,3.5918301193208237,1.0151567060395248,-1.3364760524693269,3.5918301193208237,-0.11256023352695266
126,1.321694130861355,3.5914697457679297,1.0113609864357045,-1.3359307029441077,3.5914697457679297,-0.11088421806817816
127,1.3213564031848006,3.5911065007126224,1.007569612246428,-1.3353810080043438,3.5911065007126224,-0.10920873157042266
128,1.3210160414443024,3.590740384154901,1.0037825834716942,-1.334826967650037,3.590740384154901,-0.1075337781760628
129,1.320673046481351,3.590371396094767,0.9999999001115047,-1.3342685818811866,3.590371396094767,-0.10585936202615809
130,1.320327419143948,3.589999536532219,0.9962215621658586,-1.3337058506977923,3.589999536532219,-0.10418548726043886
131,1.319979160286602,3.589624805467257,0.9924475696347561,-1.3331387740998544,3.589624805467257,-0.1025121580172974
132,1.3196282707703288,3.589247202899882,0.9886779225181974,-1.3325673520873735,3.589247202899882,-0.10083937843377733
133,1.3192747514626475,3.5888667288300935,0.984912620816182,-1.331991584660349,3.5888667288300935,-0.0991671526455633
134,1.3189186032375788,3.5884833832578917,0.9811516645287104,-1.3314114718187806,3.5884833832578917,-0.09749548478697045
135,1.3185598269756436,3.5880971661832763,0.977395053655782,-1.3308270135626685,3.5880971661832763,-0.09582437899093454
136,1.318198423563859,3.5877080776062473,0.9736427881973979,-1.3302382098920127,3.5877080776062473,-0.09415383938900312
137,1.317834393895739,3.5873161175268047,0.9698948681535566,-1.329645060806813,3.5873161175268047,-0.09248387011132131
138,1.3174677388712894,3.586921285944949,0.9661512935242591,-1.3290475663070707,3.586921285944949,-0.09081447528662645
139,1.3170984593970072,3.5865235828606794,0.9624120643095053,-1.3284457263927845,3.5865235828606794,-0.08914565904223481
140,1.3167265563858774,3.5861230082739963,0.9586771805092953,-1.3278395410639545,3.5861230082739963,-0.08747742550403181
141,1.3163520307573724,3.5857195621849,0.9549466421236286,-1.3272290103205808,3.5857195621849,-0.08580977879646312
142,1.3159748834374474,3.58531324459339,0.9512204491525056,-1.3266141341626634,3.58531324459339,-0.08414272304252313
143,1.3155951153585403,3.5849040554994662,0.9474986015959264,-1.325994912590203,3.5849040554994662,-0.08247626236374428
144,1.3152127274595677,3.5844919949031295,0.94378109945389,-1.325371345603199,3.5844919949031295,-0.08081040088018954
145,1.3148277206859236,3.584077062804379,0.9400679427263974,-1.3247434332016512,3.584077062804379,-0.07914514271043904
146,1.3144400959894769,3.5836592592032153,0.9363591314134485,-1.3241111753855597,3.5836592592032153,-0.07748049197158213
147,1.3140498543285684,3.5832385840996377,0.9326546655150434,-1.3234745721549244,3.5832385840996377,-0.07581645277920623
148,1.3136569966680096,3.5828150374936465,0.928954545031182,-1.3228336235097462,3.5828150374936465,-0.0741530292473862
149,1.3132615239790792,3.5823886193852426,0.9252587699618644,-1.3221883294500234,3.5823886193852426,-0.0724902254886759
150,1.3128634372395211,3.581959329774424,0.9215673403070896,-1.3215386899757577,3.581959329774424,-0.07082804561409528
151,1.3124627374335425,3.581527168661193,0.9178802560668586,-1.3208847050869483,3.581527168661193,-0.06916649373312378
152,1.3120594255518103,3.581092136045548,0.9141975172411723,-1.320226374783596,3.581092136045548,-0.0675055739536865
153,1.31165350259145,3.5806542319274897,0.9105191238300279,-1.3195636990656991,3.5806542319274897,-0.0658452903821467
154,1.3112449695560422,3.5802134563070176,0.9068450758334281,-1.3188966779332594,3.5802134563070176,-0.06418564712329511
155,1.3108338274556206,3.579769809184132,0.9031753732513721,-1.318225311386275,3.579769809184132,-0.06252664828033794
156,1.3104200773066697,3.5793232905588335,0.8995100160838589,-1.3175495994247477,3.5793232905588335,-0.06086829795488935
157,1.3100037201321213,3.5788739004311205,0.8958490043308895,-1.3168695420486776,3.5788739004311205,-0.0592106002469599
158,1.3095847569613532,3.578421638800995,0.8921923379924639,-1.3161851392580628,3.578421638800995,-0.05755355925494676
159,1.309163188830186,3.5779665056684555,0.888540017068582,-1.3154963910529052,3.5779665056684555,-0.05589717907562308
160,1.3087390167808808,3.5775085010335026,0.884892041559243,-1.314803297433203,3.5775085010335026,-0.05424146380412864
161,1.308312241862136,3.577047624896136,0.8812484114644477,-1.3141058583989578,3.577047624896136,-0.05258641753395876
162,1.3078828651290857,3.576583877256356,0.877609126784197,-1.313404073950169,3.576583877256356,-0.05093204435695631
163,1.3074508876432964,3.576117258114163,0.8739741875184883,-1.3126979440868372,3.576117258114163,-0.04927834836329703
164,1.3070163104727643,3.5756477674695555,0.8703435936673243,-1.3119874688089608,3.5756477674695555,-0.04762533364148602
165,1.3065791346919136,3.5751754053225353,0.866717345230704,-1.3112726481165415,3.5751754053225353,-0.04597300427834172
166,1.3061393613815921,3.5747001716731015,0.8630954422086266,-1.3105534820095786,3.5747001716731015,-0.04432136435898837
167,1.3056969916290708,3.574222066521254,0.8594778846010929,-1.3098299704880718,3.574222066521254,0.31362014404399785
168,1.3052520265280387,3.573741089866993,0.8558646724081029,-1.3091021135520213,3.573741089866993,0.3152703928272227
169,1.3048044671786028,3.5732572417103188,0.8522558056296567,-1.308369911201427,3.5732572417103188,0.3169199399215503
170,1.3043543146872825,3.572770522051231,0.8486512842657543,-1.30763336343629,3.572770522051231,0.31856878124873456
171,1.3039015701670096,3.5722809308897294,0.8450511083163956,-1.3068924702566092,3.5722809308897294,0.32021691273227404
172,1.3034462347371236,3.5717884682258143,0.8414552777815798,-1.3061472316623846,3.5717884682258143,0.32186433029742334
173,1.3029883095233699,3.571293134059486,0.8378637926613077,-1.3053976476536162,3.571293134059486,0.3235110298712014
174,1.3025277956578962,3.570794928390744,0.8342766529555794,-1.3046437182303041,3.570794928390744,0.32515700738240216
175,1.302064694279251,3.5702938512195885,0.8306938586643948,-1.3038854433924492,3.5702938512195885,0.32680225876160485
176,1.3015990065323797,3.56978990254602,0.8271154097877531,-1.3031228231400496,3.56978990254602,0.32844677994118454
177,1.301130733568622,3.5692830823700374,0.823541306325656,-1.3023558574731071,3.5692830823700374,0.3300905668553207
178,1.300659876545709,3.568773390691642,0.8199715482781018,-1.3015845463916218,3.568773390691642,0.331733615440009
179,1.3001864366277607,3.5682608275108323,0.8164061356450913,-1.3008088898955918,3.5682608275108323,0.3333759216330696
180,1.299710414985283,3.567745392827609,0.8128450684266237,-1.3000288879850181,3.567745392827609,0.33501748137415843
181,1.2992318127951648,3.5672270866419726,0.8092883466227008,-1.2992445406599016,3.5672270866419726,0.3366582906047779
182,1.298750631240674,3.566705908953923,0.8057359702333216,-1.2984558479202413,3.566705908953923,0.3382983452682846
183,1.2982668715114574,3.56618185976346,0.8021879392584852,-1.2976628097660372,3.56618185976346,0.33993764130990156
184,1.297780534803534,3.5656549390705825,0.7986442536981926,-1.2968654261972894,3.5656549390705825,0.3415761746767263
185,1.2972916223192956,3.5651251468752925,0.7951049135524437,-1.2960636972139978,3.5651251468752925,0.3432139413177433
186,1.296800135267501,3.564592483177589,0.7915699188212386,-1.2952576228161634,3.564592483177589,0.34485093718383153
187,1.2963060748632744,3.564056947977471,0.7880392695045764,-1.2944472030037852,3.564056947977471,0.3464871582277764
188,1.2958094423281032,3.5635185412749406,0.7845129656024579,-1.2936324377768633,3.5635185412749406,0.34812260040427834
189,1.295310238889833,3.562977263069996,0.780991007114884,-1.2928133271353976,3.562977263069996,0.3497572596699636
190,1.2948084657826657,3.562433113362638,0.7774733940418521,-1.2919898710793882,3.562433113362638,0.35139113198339444
191,1.2943041242471565,3.561886092152867,0.7739601263833649,-1.291162069608836,3.561886092152867,0.35302421330507805
192,1.2937972155302102,3.5613361994406816,0.7704512041394214,-1.290329922723739,3.5613361994406816,0.3546564995974779
193,1.2932877408850798,3.5607834352260834,0.7669466273100207,-1.2894934304240993,3.5607834352260834,0.3562879868250226
194,1.2927757015713603,3.5602277995090716,0.7634463958951638,-1.2886525927099157,3.5602277995090716,0.357918670954116
195,1.2922610988549892,3.5596692922896462,0.7599505098948507,-1.2878074095811893,3.5596692922896462,0.3595485479531484
196,1.2917439340082404,3.559107913567807,0.7564589693090813,-1.2869578810379183,3.559107913567807,0.3611776137925058
197,1.291224208309723,3.558543663343555,0.7529717741378557,-1.2861040070801044,3.558543663343555,0.3628058644445771
198,1.2907019230443764,3.557976541616889,0.7494889243811729,-1.2852457877077468,3.557976541616889,0.3644332958837704
199,1.2901770795034697,3.55740654838781,0.7460104200390347,-1.2843832229208454,3.55740654838781,0.36605990408651623
200,1.2896496789845953,3.556833683656317,0.7425362611114394,-1.2835163127194003,3.556833683656317,0.3676856850312822
201,1.2891197227916686,3.5562579474224103,0.7390664475983879,-1.2826450571034114,3.5562579474224103,0.3693106346985795
202,1.288587212234923,3.555679339686091,0.7356009794998792,-1.2817694560728796,3.555679339686091,0.37093474907097645
203,1.2880521486309064,3.5550978604473578,0.7321398568159152,-1.2808895096278041,3.5550978604473578,0.37255802413310546
204,1.2875145333024804,3.5545135097062106,0.728683079546494,-1.2800052177681849,3.5545135097062106,0.37418045587167326
205,1.286974367578814,3.5539262874626503,0.7252306476916166,-1.2791165804940219,3.5539262874626503,0.3758020402754738
206,1.2864316527953819,3.5533361937166763,0.7217825612512829,-1.2782235978053151,3.5533361937166763,0.3774227733353932
207,1.2858863902939612,3.552743228468289,0.718338820225493,-1.2773262697020646,3.552743228468289,0.37904265104442425
