,q1f,q2f,q3f,q4f,q5f,q6f
910,-0.7321499023467579,-0.4471523795757349,-0.3807077472269386,1.3048519549548265,-0.4471523795757349,0.12036217520731168
911,-0.7324869083060498,-0.4476437558170269,-0.37860015713646095,1.304385493698071,-0.4476437558170269,0.11975357794454694
912,-0.7328234176162379,-0.4481351320583189,-0.37648943559665565,1.3039159009919883,-0.4481351320583189,0.11914491151926249
913,-0.7331594301691874,-0.4486265082996109,-0.37437558260752263,1.3034431768365777,-0.4486265082996109,0.11853617671245859
914,-0.733494945857991,-0.44911788454090296,-0.3722585981690624,1.30296732123184,-0.44911788454090296,0.11792737430530514
915,-0.7338299645769707,-0.44960926078219493,-0.3701384822812743,1.3024883341777744,-0.44960926078219493,0.11731850507913927
916,-0.7341644862216764,-0.45010063702348696,-0.36801523494415883,1.302006215674382,-0.45010063702348696,0.1167095698154626
917,-0.7344985106888879,-0.450592013264779,-0.3658888561577161,1.3015209657216613,-0.450592013264779,0.11610056929594098
918,-0.7348320378766128,-0.45108338950607096,-0.18288987231415293,1.3010325843196133,-0.45108338950607096,0.11549150430240046
919,-0.7351650676840895,-0.451574765747363,-0.18075723062905474,1.3005410714682375,-0.451574765747363,0.11488237561682785
920,-0.7354976000117853,-0.452066141988655,-0.17862145749462893,1.3000464271675345,-0.452066141988655,0.11427318402136605
921,-0.735829634761398,-0.452557518229947,-0.17648255291087617,1.299548651417504,-0.452557518229947,0.1136639302983144
922,-0.7361611718358548,-0.4530488944712391,-0.17434051687779534,1.2990477442181456,-0.4530488944712391,0.11305461523012567
923,-0.7364922111393143,-0.4535402707125311,-0.1721953493953871,1.29854370556946,-0.4535402707125311,0.11244523959940417
924,-0.7368227525771645,-0.4540316469538231,-0.17004705046365148,1.2980365354714472,-0.4540316469538231,0.11183580418890388
925,-0.7371527960560256,-0.4545230231951151,-0.16789562008258824,1.2975262339241065,-0.4545230231951151,0.11122630978152653
926,-0.7374823414837481,-0.45501439943640715,-0.16574105825219737,1.297012800927438,-0.45501439943640715,0.11061675716032043
927,-0.7378113887694142,-0.4555057756776991,-0.16358336497247955,1.2964962364814423,-0.4555057756776991,0.11000714710847664
928,-0.738139937823338,-0.45599715191899115,-0.16142254024343344,1.295976540586119,-0.45599715191899115,0.1093974804093289
929,-0.7384679885570642,-0.4564885281602832,-0.15925858406505972,1.295453713241468,-0.4564885281602832,0.10878775784635114
930,-0.7387955408833708,-0.45697990440157515,-0.15709149643735904,1.29492775444749,-0.45697990440157515,0.108177980203155
931,-0.7391225947162676,-0.4574712806428672,-0.1549212773603303,1.2943986642041836,-0.4574712806428672,0.10756814826348854
932,-0.7394491499709964,-0.4579626568841592,-0.15274792683397437,1.2938664425115505,-0.4579626568841592,0.10695826281123416
933,-0.7397752065640325,-0.4584540331254512,-0.15057144485829083,1.2933310893695893,-0.4584540331254512,0.10634832463040605
934,-0.7401007644130831,-0.4589454093667433,-0.14839183143327989,1.292792604778301,-0.4589454093667433,0.10573833450514919
935,-0.7404258234370896,-0.4594367856080353,-0.14620908655894155,1.2922509887376845,-0.4594367856080353,0.10512829321973721
936,-0.7407503835562255,-0.4599281618493273,-0.14402321023527492,1.291706241247741,-0.4599281618493273,0.10451820155856933
937,-0.7410744446918986,-0.4604195380906193,-0.14183420246228157,1.29115836230847,-0.4604195380906193,0.10390806030617045
938,-0.7413980067667499,-0.46091091433191134,-0.13964206323996037,1.2906073519198713,-0.46091091433191134,0.10329787024718745
939,-0.7417210697046543,-0.4614022905732033,-0.13744679256831155,1.2900532100819453,-0.4614022905732033,0.10268763216638749
940,-0.7420436334307214,-0.46189366681449534,-0.13524839044733533,1.2894959367946914,-0.46189366681449534,0.1020773468486576
941,-0.7423656978712939,-0.46238504305578737,-0.13304685687703127,1.2889355320581102,-0.46238504305578737,0.10146701507900052
942,-0.7426872629539496,-0.46287641929707934,-0.13084219185740026,1.288371995872201,-0.46287641929707934,0.10085663764253422
943,-0.743008328607501,-0.4633677955383714,-0.12863439538844118,1.2878053282369648,-0.4633677955383714,0.10024621532448957
944,-0.7433288947619948,-0.4638591717796634,-0.1264234674701547,1.287235529152401,-0.4638591717796634,0.09963574891020838
945,-0.7436489613487133,-0.4643505480209554,-0.12420940810254105,1.2866625986185094,-0.4643505480209554,0.09902523918514189
946,-0.7439685283001732,-0.46484192426224746,-0.12199221728559956,1.2860865366352907,-0.46484192426224746,0.0984146869348475
947,-0.7442875955501269,-0.4653333005035395,-0.11977189501933044,1.2855073432027444,-0.4653333005035395,0.09780409294498899
948,-0.7446061630335624,-0.4658246767448315,-0.11754844130373393,1.2849250183208702,-0.4658246767448315,0.09719345800133189
949,-0.7449242306867029,-0.4663160529861235,-0.11532185613880935,1.2843395619896685,-0.4663160529861235,0.09658278288974426
950,-0.7452417984470074,-0.4668074292274155,-0.11309213952455804,1.2837509742091393,-0.4668074292274155,0.0959720683961926
951,-0.7455588662531712,-0.46729880546870756,-0.11085929146097934,1.2831592549792825,-0.46729880546870756,0.09536131530674136
952,-0.7458754340451252,-0.46779018170999953,-0.10862331194807234,1.2825644043000985,-0.46779018170999953,0.09475052440754989
953,-0.7461915017640366,-0.46828155795129156,-0.10638420098583817,1.2819664221715872,-0.46828155795129156,0.0941396964848718
954,-0.746507069352309,-0.4687729341925836,-0.1041419585742766,1.2813653085937478,-0.4687729341925836,0.09352883232505121
955,-0.7468221367535826,-0.46926431043387556,-0.10189658471338697,1.2807610635665811,-0.46926431043387556,0.09291793271452259
956,-0.7471367039127343,-0.4697556866751676,-0.09964807940317039,1.2801536870900867,-0.4697556866751676,0.09230699843980789
957,-0.7474507707758774,-0.4702470629164596,-0.09739644264362596,1.2795431791642649,-0.4702470629164596,0.09169603028751444
958,-0.7477643372903623,-0.47073843915775165,-0.09514167443475391,1.2789295397891156,-0.47073843915775165,0.09108502904433374
959,-0.7480774034047769,-0.4712298153990437,-0.09288377477655468,1.2783127689646385,-0.4712298153990437,0.09047399549703888
960,-0.7483899690689455,-0.4717211916403357,-0.09062274366902762,1.2776928666908343,-0.4717211916403357,0.089862930432483
961,-0.7487020342339298,-0.4722125678816277,-0.08835858111217315,1.2770698329677024,-0.4722125678816277,0.08925183463759695
962,-0.7490135988520294,-0.4727039441229197,-0.08609128710599107,1.2764436677952429,-0.4727039441229197,0.08864070889938763
